,id,name,followers,genres,popularity,URI,image_url,embed_link
69,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,6911617,big room,84,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,https://i.scdn.co/image/ab6761610000e5eb27c55a5e9ed2a41c01589fae,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Tiësto"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/2o5jDhtHVPhrJdv3cEQ99Z?utm_source=oembed""></iframe>"
70,6jJ0s89eD6GaHleKKya26X,Katy Perry,27187299,pop,84,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Katy Perry"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/6jJ0s89eD6GaHleKKya26X?utm_source=oembed""></iframe>"
71,50co4Is1HCEo8bhOyUWKpn,Young Thug,8357479,atl hip hop,84,spotify:artist:50co4Is1HCEo8bhOyUWKpn,https://i.scdn.co/image/ab6761610000e5eb547d2b41c9f2c97318aad0ed,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Young Thug"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/50co4Is1HCEo8bhOyUWKpn?utm_source=oembed""></iframe>"
72,1dfeR4HaWDbWqFHLkxsg1d,Queen,46807842,classic rock,84,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Queen"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/1dfeR4HaWDbWqFHLkxsg1d?utm_source=oembed""></iframe>"
73,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,42565964,pop,84,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,https://i.scdn.co/image/ab6761610000e5eba5205abffd84341e5bace828,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Selena Gomez"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/0C8ZW7ezQVs4URX5aX7Kqx?utm_source=oembed""></iframe>"
74,2ye2Wgw4gimLv2eAKyk1NB,Metallica,24861126,hard rock,83,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Metallica"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/2ye2Wgw4gimLv2eAKyk1NB?utm_source=oembed""></iframe>"
75,0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,2847841,corrido,83,spotify:artist:0pePYDrJGk8gqMRbXrLJC8,https://i.scdn.co/image/ab6761610000e5ebd6a88ec8bff889c344de2228,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Luis R Conriquez"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/0pePYDrJGk8gqMRbXrLJC8?utm_source=oembed""></iframe>"
76,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,25396994,pop,83,spotify:artist:1McMsnEElThX1knmY4oliG,https://i.scdn.co/image/ab6761610000e5ebee954a3b5418065c2fe253fb,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Olivia Rodrigo"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/1McMsnEElThX1knmY4oliG?utm_source=oembed""></iframe>"
77,0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,2847841,corrido,83,spotify:artist:0pePYDrJGk8gqMRbXrLJC8,https://i.scdn.co/image/ab6761610000e5ebd6a88ec8bff889c344de2228,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Luis R Conriquez"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/0pePYDrJGk8gqMRbXrLJC8?utm_source=oembed""></iframe>"
78,3q7HBObVc0L8jNeTe5Gofh,50 Cent,11256207,east coast hip hop,83,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: 50 Cent"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/3q7HBObVc0L8jNeTe5Gofh?utm_source=oembed""></iframe>"
